source_system,source_database,source_table_or_aggregate,source_authority,source_identity_fields,source_revision_rule,source_timestamp_field,record_family,record_type,schema_name,schema_version,schema_path,schema_hash,delivery_guarantee,evaluation_role,applicability,mapper,projection_mode,cursor_rule,redaction_profile,artifact_policy,required_references,status
"runtime","runtime_postgresql","workflow_control_round","Runtime PostgreSQL","control_id + round_index","immutable round; canonical source hash","created_at","runtime","runtime.policy_decision","sdar.evidence.runtime.policy_decision","1","records/runtime.policy_decision.schema.json","sha256:a45a667ca0afa4daaaa704ac76e5f1855204af63deb78628a1b3425bc76af8ba","durable_projection","required","when runtime.policy_decision source fact exists for the episode","RuntimePolicyDecisionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.decision","implemented_and_verified"
"runtime","runtime_postgresql","task_execution_readiness","Runtime PostgreSQL","readiness_id","immutable readiness check; canonical source hash","created_at","runtime","runtime.execution_gate","sdar.evidence.runtime.execution_gate","1","records/runtime.execution_gate.schema.json","sha256:c594f15652b07d80f3f548bd729627822bcf4eab3ec23a72e7f71c6d39902138","durable_projection","required","when runtime.execution_gate source fact exists for the episode","RuntimeExecutionGateEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.policy_decision","implemented_and_verified"
"runtime","runtime_postgresql","workflow_plan","Runtime PostgreSQL","plan_id","attempt_count + confirmation status + canonical source hash","created_at / confirmed_at","runtime","runtime.human_confirmation","sdar.evidence.runtime.human_confirmation","1","records/runtime.human_confirmation.schema.json","sha256:6884785e2e46c8d5a79e4f5dd0a4733bc1f5758ef94330be46a52940d6b49e48","durable_projection","required","when runtime.human_confirmation source fact exists for the episode","RuntimeHumanConfirmationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.plan","implemented_and_verified"
"runtime","runtime_postgresql","mcp_invocation","Runtime PostgreSQL","invocation_id","immutable invocation; canonical source hash","started_at","runtime","runtime.action","sdar.evidence.runtime.action","1","records/runtime.action.schema.json","sha256:62396963c117169faddfb09262d72590a4ec0487d4f70bcdddf595fdf893e4f0","durable_projection","required","when runtime.action source fact exists for the episode","RuntimeActionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.plan_step,skill.execution","implemented_and_verified"
"runtime","runtime_postgresql","mcp_invocation","Runtime PostgreSQL","invocation_id","immutable invocation; canonical source hash","started_at","runtime","runtime.receipt","sdar.evidence.runtime.receipt","1","records/runtime.receipt.schema.json","sha256:be7e316c493b5d7e3688b1e8446fe9857e66929b1cc85dff25c39a7eec498758","durable_projection","required","when runtime.receipt source fact exists for the episode","RuntimeReceiptEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.action","implemented_and_verified"
"runtime","runtime_postgresql","completed_effect","Runtime PostgreSQL","completed_effect_id","immutable effect; canonical source hash","created_at","runtime","runtime.verification","sdar.evidence.runtime.verification","1","records/runtime.verification.schema.json","sha256:eab6c226a969dd482e05668f0e85fea4cc8fc0c8837578ecf15cc873a4a87257","durable_projection","required","when runtime.verification source fact exists for the episode","RuntimeVerificationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.action,runtime.receipt","implemented_and_verified"
"runtime","runtime_postgresql","outcome_decision","Runtime PostgreSQL","outcome_decision_id","immutable decision; canonical source hash","created_at","runtime","runtime.outcome","sdar.evidence.runtime.outcome","1","records/runtime.outcome.schema.json","sha256:99e99ae60a6df602bbcff99e347c7a1875d5b5e07edd6938c3f81442e6a9fa67","durable_projection","required","when runtime.outcome source fact exists for the episode","RuntimeOutcomeEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.verification","implemented_and_verified"
"runtime","runtime_postgresql","runtime_terminal_outcome","Runtime PostgreSQL","outcome_id","terminal sequence + canonical source hash","committed_at","runtime","runtime.run_seal","sdar.evidence.runtime.run_seal","1","records/runtime.run_seal.schema.json","sha256:6e270c7416e320ee115100d68b7624d556d93e37c18d491fa119f2049049ca33","durable_projection","required","when runtime.run_seal source fact exists for the episode","RuntimeRunSealEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.outcome","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_record","Runtime PostgreSQL","execution_id","immutable execution snapshot; canonical source hash","created_at","skill","skill.usage_snapshot","sdar.evidence.skill.usage_snapshot","1","records/skill.usage_snapshot.schema.json","sha256:90052e730e43a3a5a087fa8d3134ae582d2d90f489468b234d260f9f3f321569","durable_projection","required","when skill.usage_snapshot source fact exists for the episode","SkillUsageSnapshotEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.episode,skill.execution","implemented_and_verified"
"runtime","runtime_postgresql","skill_selection_record.candidates_json[]","Runtime PostgreSQL","selection_id","immutable selection; canonical source hash","created_at","skill","skill.candidate","sdar.evidence.skill.candidate","1","records/skill.candidate.schema.json","sha256:cdc1059907e97e5b09403d214efcb94b0ab99ed3286a26933c55f9ebf79817b5","durable_projection","required","when skill.candidate source fact exists for the episode","SkillCandidateEvidenceMapper","durable_structured_subrecord_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.goal_contract","implemented_and_verified"
"runtime","runtime_postgresql","skill_selection_record.candidates_json[]","Runtime PostgreSQL","selection_id","immutable selection; canonical source hash","created_at","skill","skill.applicability","sdar.evidence.skill.applicability","1","records/skill.applicability.schema.json","sha256:8bf1eede394382c88679bc303a8cf32fc5379fea979be1693d7f3ee556d850d9","durable_projection","required","when skill.applicability source fact exists for the episode","SkillApplicabilityEvidenceMapper","durable_structured_subrecord_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.candidate","implemented_and_verified"
"runtime","runtime_postgresql","skill_input_resolution","Runtime PostgreSQL","resolution_id","immutable resolution; canonical source hash","created_at","skill","skill.context_resolution","sdar.evidence.skill.context_resolution","1","records/skill.context_resolution.schema.json","sha256:2f9be00f093f7217851893416f8b15f5939f384710372dcb038bf12ac80c7870","durable_projection","required","when skill.context_resolution source fact exists for the episode","SkillContextResolutionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.selection","implemented_and_verified"
"runtime","runtime_postgresql","skill_selection_record","Runtime PostgreSQL","selection_id","immutable selection; canonical source hash","created_at","skill","skill.selection","sdar.evidence.skill.selection","1","records/skill.selection.schema.json","sha256:cd0f38a149464775110315544d8ca5ff33866b9f812433a26b5bb34d4f0bba1a","durable_projection","required","when skill.selection source fact exists for the episode","SkillSelectionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.candidate,skill.applicability","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event[event_type=skill.mode_selected]","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.mode_selection","sdar.evidence.skill.mode_selection","1","records/skill.mode_selection.schema.json","sha256:24fa8268fe04a1dce1007fe411c69929173e80c22c94348b32701e8139bd5eeb","durable_projection","required","when skill.mode_selection source fact exists for the episode","SkillModeSelectionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.selection","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_record","Runtime PostgreSQL","execution_id","immutable execution snapshot; canonical source hash","created_at","skill","skill.composition","sdar.evidence.skill.composition","1","records/skill.composition.schema.json","sha256:67f5d08e7e241f3a765bc64f029465b75212ccd432bea08a0bfb8398de272db8","durable_projection","required","when skill.composition source fact exists for the episode","SkillCompositionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.selection","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event[event_type=skill.child_selected]","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.composition_edge","sdar.evidence.skill.composition_edge","1","records/skill.composition_edge.schema.json","sha256:1af752b6494b95c0a6c556d77eba0f816d70a669ddca22b0c3495e66f510d4d4","durable_projection","required","when skill.composition_edge source fact exists for the episode","SkillCompositionEdgeEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.composition","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.capability_slot_resolution","sdar.evidence.skill.capability_slot_resolution","1","records/skill.capability_slot_resolution.schema.json","sha256:9e0ee83ffbb0ef725acafd1bc7f32adb3486eb974023be2e8457700997d828f1","durable_projection","required","when skill.capability_slot_resolution source fact exists for the episode","SkillCapabilitySlotResolutionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.composition,capability.definition","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event[event_type=skill.procedure_compiled]","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.procedure_compilation","sdar.evidence.skill.procedure_compilation","1","records/skill.procedure_compilation.schema.json","sha256:bc8049aebfdbb422466491e10a0e786b133b2dca087022c53e7c01de2a628f62","durable_projection","required","when skill.procedure_compilation source fact exists for the episode","SkillProcedureCompilationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.capability_slot_resolution","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.plan_compliance","sdar.evidence.skill.plan_compliance","1","records/skill.plan_compliance.schema.json","sha256:9d341ff3d6eed9e8a8bdac35754edc3ae6aad6f41529eb0de46bf42d7212e92a","durable_projection","required","when skill.plan_compliance source fact exists for the episode","SkillPlanComplianceEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.procedure_compilation,runtime.plan","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_record","Runtime PostgreSQL","execution_id","immutable execution snapshot; canonical source hash","created_at","skill","skill.execution","sdar.evidence.skill.execution","1","records/skill.execution.schema.json","sha256:4d7bd506d27bccb78c5830a9ce74f8959c803adb3130f92b5f384c2cbda14c17","durable_projection","required","when skill.execution source fact exists for the episode","SkillExecutionEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.selection,runtime.plan_step","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.execution_event","sdar.evidence.skill.execution_event","1","records/skill.execution_event.schema.json","sha256:bdd072e53fc3477f6a19dbb3b7f869a095ef42d57431d1d31c5f1109f781876c","durable_projection","required","when skill.execution_event source fact exists for the episode","SkillExecutionEventEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.execution","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_reference","Runtime PostgreSQL","link_id","immutable reference; canonical source hash","created_at","skill","skill.execution_reference","sdar.evidence.skill.execution_reference","1","records/skill.execution_reference.schema.json","sha256:1f41b196694620b418f80b454b3e41c3c4b7983ab68512b8227a3babf2c4c1fa","durable_projection","required","when skill.execution_reference source fact exists for the episode","SkillExecutionReferenceEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.execution","implemented_and_verified"
"runtime","runtime_postgresql","skill_execution_event[event_type=skill.execution_failed]","Runtime PostgreSQL","event_id","immutable event sequence; canonical source hash","occurred_at","skill","skill.failure_propagation","sdar.evidence.skill.failure_propagation","1","records/skill.failure_propagation.schema.json","sha256:8da01b375117654a48125aed480221b2c3168ec768d94ccb265a924c1b643726","durable_projection","required","when skill.failure_propagation source fact exists for the episode","SkillFailurePropagationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","skill.execution_event","implemented_and_verified"
"runtime","runtime_postgresql","task_capability_binding.evidence_requirement_snapshot[]","Runtime PostgreSQL","binding_id","binding_hash","bound_at","skill","skill.evidence_requirement","sdar.evidence.skill.evidence_requirement","1","records/skill.evidence_requirement.schema.json","sha256:edd24444bcc63a98ea099680751e6bf3d5ecc68f1a09287df689db56b264d4b0","durable_projection","required","when skill.evidence_requirement source fact exists for the episode","SkillEvidenceRequirementEvidenceMapper","durable_structured_subrecord_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","capability.task_binding","implemented_and_verified"
"runtime","runtime_postgresql","mcp_invocation","Runtime PostgreSQL","invocation_id","immutable invocation; canonical source hash","started_at","mcp_task","mcp_task.tool_call","sdar.evidence.mcp_task.tool_call","1","records/mcp_task.tool_call.schema.json","sha256:eaa7bc90f9c0e74b016b80ec1a47ee819c3b934f88ef1e655d1de1e6746cdb5d","durable_projection","required","when mcp_task.tool_call source fact exists for the episode","McpTaskToolCallEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","runtime.action","implemented_and_verified"
"runtime","runtime_postgresql","task_availability_snapshot","Runtime PostgreSQL","snapshot_id","immutable snapshot; canonical source hash","checked_at","mcp_task","mcp_task.availability","sdar.evidence.mcp_task.availability","1","records/mcp_task.availability.schema.json","sha256:2f9a856c9da7d5a83f68d47bef2f6e77a590a8c973ac6257b06d6322f9f49a8a","durable_projection","required","when mcp_task.availability source fact exists for the episode","McpTaskAvailabilityEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.tool_call","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_binding","Runtime PostgreSQL","binding_id","version + canonical source hash","created_at","mcp_task","mcp_task.remote_binding","sdar.evidence.mcp_task.remote_binding","1","records/mcp_task.remote_binding.schema.json","sha256:cc302a8902d3cdfb60a7b9af4edf93ee9b56b29fa3670dd8eccc9f473bd43c0c","durable_projection","required","when mcp_task.remote_binding source fact exists for the episode","McpTaskRemoteBindingEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.tool_call","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_observation","Runtime PostgreSQL","observation_id","provider revision or canonical source hash","observed_at","mcp_task","mcp_task.observation","sdar.evidence.mcp_task.observation","1","records/mcp_task.observation.schema.json","sha256:1614f56e3b960c0fdc1d241b225d163e3ccbaf7f3b2dbebe7f5921ac8cfdb082","durable_projection","required","when mcp_task.observation source fact exists for the episode","McpTaskObservationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_control_event","Runtime PostgreSQL","event_id","immutable event; canonical source hash","created_at","mcp_task","mcp_task.control_event","sdar.evidence.mcp_task.control_event","1","records/mcp_task.control_event.schema.json","sha256:bec6a5c269a57ceaa6e450f42a01c3817d5d26dbcf1cc7415a0925f38f03e787","durable_projection","required","when mcp_task.control_event source fact exists for the episode","McpTaskControlEventEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_protocol_attempt","Runtime PostgreSQL","attempt_id","immutable attempt; canonical source hash","started_at","mcp_task","mcp_task.poll_attempt","sdar.evidence.mcp_task.poll_attempt","1","records/mcp_task.poll_attempt.schema.json","sha256:ff179528ede69f0790dcafc5e2d5d08f7b7e548e95190156f95fe1fa2d1db06e","durable_projection","required","when mcp_task.poll_attempt source fact exists for the episode","McpTaskPollAttemptEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_input_link","Runtime PostgreSQL","input_request_id","remote revision + result_hash","created_at","mcp_task","mcp_task.input_link","sdar.evidence.mcp_task.input_link","1","records/mcp_task.input_link.schema.json","sha256:f7d5baadd6b5b712d34cfeb17670b5e46b2bab352552e01007dbc153b0a6607a","durable_projection","required","when mcp_task.input_link source fact exists for the episode","McpTaskInputLinkEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_cancel_request","Runtime PostgreSQL","cancel_request_id","version + canonical source hash","requested_at / updated_at","mcp_task","mcp_task.cancel","sdar.evidence.mcp_task.cancel","1","records/mcp_task.cancel.schema.json","sha256:0aebdbe6ccf3aca87795f36659d15be9417be1a9c724da5915e58499b3f7d844","durable_projection","required","when mcp_task.cancel source fact exists for the episode","McpTaskCancelEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","remote_task_observation[observation_source=reconciliation]","Runtime PostgreSQL","observation_id","provider/runtime revision + canonical source hash","observed_at","mcp_task","mcp_task.reconciliation","sdar.evidence.mcp_task.reconciliation","1","records/mcp_task.reconciliation.schema.json","sha256:6f651371e8c61fa380f2183bb37689c13b8bdfba2beb438a22ddf5cfab24b978","durable_projection","required","when mcp_task.reconciliation source fact exists for the episode","McpTaskReconciliationEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.observation,mcp_task.control_event","implemented_and_verified"
"runtime","runtime_postgresql","workflow_continuation_snapshot","Runtime PostgreSQL","snapshot_id","state_version + canonical source hash","created_at","mcp_task","mcp_task.continuation_snapshot","sdar.evidence.mcp_task.continuation_snapshot","1","records/mcp_task.continuation_snapshot.schema.json","sha256:43e1671e4be85cfed278b856268d3bee86783b905abe20b01b6074422e00bd32","durable_projection","required","when mcp_task.continuation_snapshot source fact exists for the episode","McpTaskContinuationSnapshotEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.remote_binding","implemented_and_verified"
"runtime","runtime_postgresql","workflow_continuation_attempt","Runtime PostgreSQL","attempt_id","immutable attempt; canonical source hash","created_at","mcp_task","mcp_task.continuation_attempt","sdar.evidence.mcp_task.continuation_attempt","1","records/mcp_task.continuation_attempt.schema.json","sha256:a9747d7d355a40f8fa7ef7146bf26efcc3d97533aecd965ed94e59b891f8e44a","durable_projection","required","when mcp_task.continuation_attempt source fact exists for the episode","McpTaskContinuationAttemptEvidenceMapper","durable_runtime_source_projector","per Runtime source/partition; stable timestamp plus source identity tie-break; never global","strict_internal_v1","inline_bounded_or_artifact_ref","mcp_task.continuation_snapshot","implemented_and_verified"
"node_control","control_postgresql","sdar_control.node_capability_definition_version","Control PostgreSQL","capability_id + version","version + definition_hash","updated_at","capability","capability.definition","sdar.evidence.capability.definition","1","records/capability.definition.schema.json","sha256:fadaa70fe19fb820caedd38686b560eb11d38b183f2f15f455a83d3fd27684b9","durable_projection","required","when capability.definition source fact exists for the episode","CapabilityDefinitionEvidenceMapper","durable_control_source_projector","per Control source/partition; node-event sequence or aggregate revision; never global","strict_internal_v1","inline_bounded_or_artifact_ref","node_control.capability_revision","implemented_and_verified"
"node_control","control_postgresql","sdar_control.capability_implementation_binding","Control PostgreSQL","binding_id + revision","revision","created_at","capability","capability.implementation_binding","sdar.evidence.capability.implementation_binding","1","records/capability.implementation_binding.schema.json","sha256:9b0dceaa9b04d027835ce21fe8f8bee42b767304d4752f1c5f6819258a48c1d3","durable_projection","required","when capability.implementation_binding source fact exists for the episode","CapabilityImplementationBindingEvidenceMapper","durable_control_source_projector","per Control source/partition; node-event sequence or aggregate revision; never global","strict_internal_v1","inline_bounded_or_artifact_ref","capability.definition","implemented_and_verified"
