contract,owner,version,schema_hash,fields_or_signature
DecisionRuleArtifactDefinition,P01,1.1,5710c7a6e2aa4b76f19449776af894cf039140f3f35a88fc14525ecbef920e85,"category,condition,decision,priority,conflictGroup,conflictPolicy"
DecisionOutput,P01,1.1,e1b890a30d853179f36092c01e1404c5b811f1cc54a63b98bf3eef9045877dc9,"decisionType,parameters,explanationCode"
CaseArtifactDefinition,P01,1.1,c1b03024222e19ed2834e25accdb8e4d841ae3e2d35ea28ecba056a79d585ea5,"problemFingerprint,solutionPattern,adaptationRules,applicability,failureBoundaries,priorOutcomeSummary"
ModelRouteArtifactDefinition,P01,1.1,2f271f5b96f9d83675b2176ea8f7a8eea76a86f1e3cc5e52c255a42cb6016678,"conditions,route,budget,fallbackRoutes"
ArtifactLineage,P01,1.1,aa6629a29c59194e6584813656dd3a0b930da324f2a8e9e3002d9580310b6f57,"lineageId,artifactId,artifactVersion,sourceEpisodeRefs,sourceKnowledgeRefs,sourceCorrectionRefs,sourcePatternRefs,generationMethods,validationRunRefs,supersedesArtifactRefs"
ArtifactRuntimeBinding,P01,1.1,52a678f6ef4de068f780d94aad27bcb4ae080f1ab3351b64c0f608719ba3a337,"bindingId,artifactId,artifactVersion,runtimeType,compilerVersion,compiledPayloadHash,compiledAt"
ArtifactRepository,P02,1.1,617560087d746b79cd5fa38f82bf8c7a90448f56e5b54c1117f0b186bae54c53,findActiveIndex(query); getDefinition(ref); saveCandidate(candidate); activate(input); deprecate(input)
ArtifactValidationRepository,P02,1.1,0c94dc844ed8cf5f4e9e4ca678e208172cd3a394affbf93ce910765899f86ab9,createRun(input); appendResult(input); findPromotionSummary(ref)
ArtifactExecutionRepository,P02,1.1,c32e0994dd2d25cbe5df2116e98b0c93252d5a75bb5e83867c25038fcec12650,start(input); complete(input); appendFeedback(input)
ArtifactRegistryService,P02,1.1,011be4e2c1686e0f68256aa9c4cf9f98dff2d92fcb4cf043b2d09b06a0c7cab5,createCandidate; getVersion; queryActiveIndex; invalidateDependency; rebuildProjection
OperatorIdentityPort,P02,1.1,1ec57c600b439bcd1efe67c67ee319b04f38681e2ab3da6fad71dbae734dfe75,requireIdentity; requirePermission; getTenantScope
ArtifactGovernancePort,P02,1.1,991d8aeb156f03d07b6181ac2d1d097f78633cf7988a93336b61815e8c3b74cf,requestValidation; recordApproval; activate; requestRevalidation; deprecate; rollback; killSwitch
ExperienceTrace,P03,1.1,d929a15aa9fc268bd713ddf9d44d8b1a856d8edc8acf8650ddc1b8511945c4f9,"traceId,sourceEpisodeId,taskTypeRefs,goalFingerprint,capabilityFingerprint,environmentFingerprint,trace,completeness,dataClassification,normalizerVersion,sourceHash,createdAt"
ExperienceTraceEvent,P03,1.1,8b9742001edfbbe7a6dc93971d5f08dff002f32d56a7ca124c5b54e59133a878,"eventId,sequence,occurredAt,eventType,actorType,capabilityRefs,authorityRefs,parentEventRefs,concurrencyGroup,branchRef,payloadSummary"
CohortDefinition,P03,1.1,864abd2238982993ced478f96be4a65eb53b6813f8a984b2b1c05175a44a4f90,"tenantId,taskTypeId,goalFingerprint,capabilityFingerprint,environmentClass,deviceClass,timeRange,minimumCompleteness"
ProcessVariant,P03,1.1,f8f772dfbc589945e691bb9052b0164941e62dab0f7ac68f7d8021c16010fa86,"variantId,activitySequence,concurrencyGroups,branchSequence,occurrenceCount,traceRefs,successCount,failureCount"
DiscoveredProcessPattern,P03,1.1,de261049c901dc1e19fcce26adc665149f1cfab9c7b83a2f25e2a6b5fbd70eac,"patternId,cohortFingerprint,algorithmVersion,mandatoryActivities,optionalActivities,orderingConstraints,parallelCandidates,recoveryBranches,failureVariants,supportRefs,contradictionRefs,environmentCoverage,quality"
WorkflowPattern,P03,1.1,5ff2cbf281b8c298e1ae972879c4c7ffc7264eb5e5358912c4c46de94080f99b,"workflowPatternId,taskTypeId,activityPatterns,dependencyPatterns,recoveryPatterns,sourcePatternRef,sourceTraceRefs,quality"
FusedPattern,P04,1.1,df1216e93f02a3ec0cc24d96547d5db3436500789818ec8bcee3847fcbd9d24e,"fusedPatternId,sourceWorkflowPatternRef,sourceProcessPatternRef,sourceTraceRefs,structuralPattern,semanticCandidate,applicabilityCandidate,supportRefs,contradictionRefs,confidence,fusionVersion,contentHash"
GeneralizedPattern,P04,1.1,96f2c70c36985897ebbc700b540048314cad2e2597777e7b9b64118e227a08bd,"generalizedPatternId,domain,taskTypeId,variables,invariants,requiredConditions,forbiddenConditions,retainedExampleRefs,counterexampleRefs,sourceFusedPatternRef,generalizerVersion,contentHash"
CandidateStaticValidationResult,P04,1.1,3365fa7c49f249c3ea0935d87781da8d90253d6683bba97075beff1276278aba,"artifactRef,schemaValid,dagValid,requiredCriteriaCovered,capabilityShapeValid,parameterPolicyValid,sideEffectReplaySafe,boundsValid,duplicateFingerprint,errors,warnings,validatorVersion,result"
ArtifactReplayCase,P05,1.1,ab24f3c2d8a692f6e569c7e95f04f4389244941da0b297ec799610e8d1bab64f,"replayCaseId,tenantId,requestSnapshotRef,goalContractSnapshotRef,capabilityCatalogSnapshotRef,worldStateSnapshotRef,policySnapshotRef,readinessSnapshotRef,acceptedPlanSnapshotRef,executionTraceSnapshotRef,outcomeSnapshotRef,correctionRefs,environmentClass,deviceClass,taskTypeId,sourceEpisodeRefs,goalLineageHash,snapshotCompleteness,contentHash"
ReplayDatasetManifest,P05,1.1,132f1c215f12fdd28388ac3879589fd22e8772f1fd75ce058ce36977802c746e,"datasetId,datasetVersion,purpose,tenantId,taskTypeIds,caseRefs,splitPolicyVersion,sourceRange,sourceHash,contentHash,leakageCheckRef,createdAt"
ArtifactValidationRun,P05,1.1,c602d26e36dc9fc55b0ecaeeeebbf962af8e4d8f80080b7d9f12798be2afdd1a,"validationRunId,artifactId,artifactVersion,validationType,datasetRef,status,result,metrics,counterexampleRefs,startedAt,completedAt"
ArtifactValidationResult,P05,1.1,0a9b4fe3b71242744760ecf7bfcd14cf4272b32ac130e111878f67f3514fd64b,"validationRunId,artifactRef,datasetRef,validationType,metrics,failureRefs,counterexampleRefs,unsafe,result,validatorVersion,metricCatalogVersion,artifactHash,datasetHash,resultHash,completedAt"
ArtifactValidationFailure,P05,1.1,e017c434add5d1f1aec004552a8795c34509461699d351d879a02003ddb37182,"failureId,validationRunRef,replayCaseRef,category,severity,expectedRef,actualRef,evidenceRefs,explanation"
ArtifactCounterexample,P05,1.1,ef317932640d095863d9bb13c96e2f738989bc7858aec9a613f76c4438ad46f3,"counterexampleId,artifactRef,replayCaseRef,failureRef,conditionFingerprint,environmentClass,failureBoundaryCandidate,sourceRefs,status,createdAt"
ArtifactShadowRun,P06,1.1,57b1f4a99385c94d967ac2eb84ed90dc74ab196c25e42fc67de488d963ec369d,"shadowRunId,artifactRef,artifactHash,formalRequestRef,formalGoalRef,formalPlanRef,formalGoalVersion,formalPlanVersion,status,shadowMode,startedAt,completedAt"
ArtifactShadowResult,P06,1.1,69f51efc62cb86f2b0df4e5a95cf3bce00580869a0b6fb891498cdc260c1ec69,"shadowRunRef,artifactRef,shadowDecisionRef,shadowPlanRef,formalPlanRef,formalOutcomeRef,comparison,policyViolation,unsafeAttempt,stale,resultHash,evaluatorVersion,completedAt"
ArtifactPromotionPackage,P06,1.1,4889edac5db4fe3251d9b29c4aaddb05341bb1d9adb257398a556859a517bf52,"promotionPackageId,artifactRef,artifactHash,validationSummaryRef,validationSummaryHash,shadowSummaryRef,shadowSummaryHash,counterexampleSummaryRef,counterexampleSummaryHash,riskReviewRef,riskReviewHash,dependencySnapshotRef,dependencySnapshotHash,promotionPolicyVersion,eligibility,contentHash,createdAt"
ArtifactApprovalRecord,P06,1.1,a041ba372f0e123ba7ba4d5fb451ba889e0f46ae727a4714aabb5c70c119394d,"approvalId,artifactId,artifactVersion,approverId,decision,reason,validationSummaryHash,promotionPackageHash,createdAt"
ArtifactActivationRecord,P06,1.1,d45959a850c3433df4be744f77e758209e317ceb88c5dc816d448878b2e3a7ef,"activationId,artifactRef,artifactHash,approvalRef,approvalHash,previousActiveArtifactRef,activePointerVersion,activatedBy,activatedAt"
ArtifactRevalidationTrigger,P06,1.1,cd9b13e443b5fa7aa80a004bbb99b3e988a44247eed92997efa8682ea774745a,"triggerId,artifactRef,triggerType,sourceRefs,severity,createdAt"
ArtifactIndexEntry,P07,1.1,dd7bc4378007ad394fa1905aebc529b30f24fc279857ba67605f29036afe9bf0,"artifactRef,artifactKey,artifactVersion,artifactType,tenantId,domain,taskTypeIds,riskLevel,status,exactPatterns,structuredHints,embeddingRef,activePointerVersion,contentHash"
ArtifactMatchScore,P07,1.1,73ddec591cef1fc8e4b4d25d5cf20e7f64523e1ca66a24ca86db32ba8ed18bc5,"intentScore,structuredConditionScore,parameterCoverageScore,capabilityShapeScore,environmentSimilarityScore,validationConfidenceScore,recentReliabilityScore,riskPenalty,totalScore"
ArtifactMatch,P07,1.1,7334e4ba7c70f3744b81bb14bef308ca5abd32c6b99f7f05bf0d210b2d7267d7,"artifactRef,rank,score,retrievalSources,reasonCodes"
ArtifactApplicabilityResult,P07,1.1,0f87d569e3a38dc37526077d92040e1db7c745120c56ec7a79430d369265ec81,"applicable,confidence,satisfiedConditionIds,missingConditionIds,violatedConditionIds,uncertainConditionIds,outOfDistribution,disposition"
ParameterBindingResult,P07,1.1,13eaeb0cad67bd18fc3b83d9bf2315d6c72213602260c5f5898c419b4c9891a5,"artifactRef,bindings,missingRequiredParameters,rejectedCandidateBindings,requiresConfirmation"
DependencyValidationResult,P07,1.1,1a8a8c2c0f3001fdda76864c4029b3bb30193ecf4487e02b361c1ec1d6485470,"artifactRef,valid,mismatches,snapshotHash,reasonCodes"
CapabilityReadinessResult,P07,1.1,d1715f16e6faddabc1967207e4abd5b2c94f6fa92d2c7e51024e747b9d475fa4,"artifactRef,requiredCapabilities,skillCandidateRefs,providerReadiness,valid,reasonCodes"
RuntimeExecutionDecision,P07,1.1,4ad37edc562bf39d27982f23f70d27ee8af1a3dfe3486dfc34725eec62b5b4de,"decisionId,requestId,path,selectedArtifactRef,parameterBindings,missingParameters,requiredConfirmations,reasonCodes,matcherSnapshotHash,policySnapshotHash,createdAt"
FastGatewayPath,P07,1.1,af5fb1fd8fd79ea3b56580dbc1d073bb9e0ad8dd3b568fba2fecf1bb59f1e24b,"compiled_fast,template_adapt,case_adapt,small_model,cognitive_runtime,human_input,denied"
TemplateInstantiationInput,P08,1.1,b1305ecee05292e77d0694bed39b1ea1bcaf5679c26a17bf21360fe523c1fb7a,"requestRef,goalContractRef,goalVersion,artifactRef,artifactVersion,artifactHash,activePointerVersion,applicabilityRef,parameterBindingRef,dependencyValidationRef,capabilityReadinessRef,policyDecisionRef,matcherSnapshotHash,policySnapshotHash,idempotencyKey,deadlineAt,cancellationRef"
GoalContextSnapshot,P08,1.1,8b7c4d0307be2e7786ddcd4187eff7f428f89788564415196c8d9d98a60a809d,"goalContractRef,goalVersion,objective,requiredCriterionRefs,optionalCriterionRefs,evidenceRequirementRefs,artifactRequirementRefs,targetScope,constraints,authorizationRefs,riskLevel,contentHash"
UserGoalPlanCandidate,P08,1.1,0703bdf935e746d6e3ec5b27a72d334baa39d50e8daa4ca144ef67a41f00d396,"candidateId,goalContractRef,goalVersion,sourceArtifactRef,sourceArtifactVersion,sourceArtifactHash,parameterBindings,skillGoalGraph,completionContract,recoveryBranches,criterionCoverage,adaptationRefs,runtimeSnapshotHash,contentHash"
TemplateInstantiationResult,P08,1.1,4d10a971c8fb2d79355f6364de04d45fea36143d0ebcd0a9b9faca785264de96,"instantiationId,requestRef,artifactRef,disposition,planCandidateRef,missingParameters,requiredConfirmations,reasonCodes,createdAt"
FormalPlanHandoffResult,P08,1.1,7cd74f217530c34f78a6d5793f2e190675dee96e6e9cb3dd39cf69dec05fe883,"handoffId,planCandidateRef,disposition,formalPlanningSessionRef,formalPlanRef,formalPlanVersion,validationRef,goalLockRef,reasonCodes,completedAt"
TemplateRuntime,P08,1.1,fe1a817f0a5633b648d018742e0fcb2278e0ef887d9a9adf1922d55a755e553a,instantiate(input: TemplateInstantiationInput): Promise<UserGoalPlanCandidate>
FormalPlanHandoffPort,P08,1.1,84f9be4c6bcd7ed775c1f56779f671709efe541edc498b6bb71047a1e55d9336,submit(candidate: UserGoalPlanCandidate): Promise<FormalPlanHandoffResult>
RuleDecisionContext,P09,1.1,151c3f7fafb1c7a8d3d6361feabdf924c5e96b8988ebfff887c8660b7efee77e,"requestRef,goalContractRef,goalVersion,planRef,planVersion,artifactRef,artifactVersion,artifactHash,activePointerVersion,tenantId,authorizationRefs,requestSnapshotRef,worldStateSnapshotRef,businessEventRefs,parameterBindingRef,capabilityReadinessRef,policyDecisionRef,dependencyValidationRef,runtimeSnapshotHash"
RuleConditionResult,P09,1.1,627bf8a47de6632abcfa0fe5abd5f197d1c37826636bf878f2b22da454442d82,"conditionId,result,operandRefs,observedValues,operator,reasonCodes"
RuleDecisionResult,P09,1.1,44c06ea58232e4713b695dc3d7082cd189a5e7b00fe94374c76c0af09e7a4f47,"evaluationId,ruleRef,ruleHash,matched,unknown,conditionResults,proposedAction,actionPayload,evaluatorVersion,runtimeSnapshotHash,resultHash,createdAt"
RuleConflictResolution,P09,1.1,03f47932366feffc992f3ffc991a51db71a71db5ea6eb3aeb79de9a13b223358,"resolutionId,evaluationRefs,selectedRuleRefs,suppressedRuleRefs,disposition,policySeverity,specificityOrder,reasonCodes,resolverVersion,resultHash"
RulePlanPatchCandidate,P09,1.1,a406785ef94494b4aabaead4556d0652e8929f3c5b8d44923cb45e49d74d3163,"patchCandidateId,goalContractRef,goalVersion,planRef,planVersion,sourceRuleRefs,patchOperations,affectedCriterionRefs,requiredConfirmations,bounded,contentHash"
RuleRuntime,P09,1.1,77b30dc4384fbf082345b90280d01f15609b5aa1a166ab827825d5dee14efaca,evaluate(input: RuleDecisionContext): Promise<RuleDecisionResult>
RuntimeRequestContext,P10,1.1,6ada60cdd637cd3a2467347c8ef858ce2932c5e56d891c7aaaf1dfaabc41595e,"requestId,taskId,contextId,rawText,normalizedText,actor,extractedFeatures,worldStateRef,capabilitySummaryRef,policySnapshotRef,deadlineAt,cancellationRef,idempotencyKey,createdAt"
FastGateway,P10,1.1,be8f17ffcf597a021a8758844521cf4ba43dd1537e0d74dc7be2116c91cc16fe,evaluate(input: RuntimeRequestContext): Promise<RuntimeExecutionDecision>
GatewayDecisionRecord,P10,1.1,1beecf8ae5527d5b8db7bcf89c36b4e73d35e083d6818f9ad18874f13e31d3ab,"gatewayDecisionId,requestId,runtimeDecisionRef,stageResults,formalHandoffRef,fallbackRef,reasonCodes,runtimeSnapshotHash,decisionHash,createdAt"
GatewayFeedbackEnvelope,P10,1.1,22faac79bc9ea9d8bcac5bc42e626bba79b5ed04579e371ba5dfadbc611aaf6b,"feedbackId,requestId,gatewayDecisionRef,selectedArtifactRefs,formalGoalRef,formalPlanRef,formalOutcomeRef,feedbackType,payload,sourceRefs,createdAt"
CaseRetrievalInput,P11,1.1,161342c806b7f58254efac7d076d3193da80982d9c0bea22998c91e71cd3b1de,"runtimeRequestRef,goalContextRef,taskTypeId,problemFingerprint,tenantId,deadlineAt,runtimeSnapshotHash"
CaseMatch,P11,1.1,135dbfad26d68afa26201c43cf69816a80be23d4a550c28062a755ff6cfb084f,"caseRef,score,applicability,failureBoundaryStatus,reasonCodes"
CaseAdaptationInput,P11,1.1,0c81b6bcabb43c588175a33d2621c431463a2547a6040efdfe39883e3a427929,"caseRef,goalContextRef,parameterBindingRef,policyDecisionRef,deadlineAt,runtimeSnapshotHash"
CaseAdaptationResult,P11,1.1,b2cd17de0f8a9bd09948981f29c368a1bc0ae18fedf4c9caf4d422e26ed2a72d,"caseRef,parameterMappings,planPatchCandidate,recoveryPlanCandidate,confidence,unknowns,validationRequired"
CaseRuntime,P11,1.1,a2cb1f3f4c0a18abf03d3fb1a552b1f480e11e8a2ac5d3f1aa98c849dd96a387,retrieve(input: CaseRetrievalInput): Promise<CaseMatch[]>; adapt(input: CaseAdaptationInput): Promise<CaseAdaptationResult>
ModelProfile,P11,1.1,03bc8f277534a5a1529d186697f7afa61eb27342a2f6ca6da85e5521d2af70bd,"profileId,providerId,modelId,modelVersion,capabilityTags,qualityTier,latencyTier,costTier,contextWindow,modalities,structuredOutputSupport,toolCallingSupport,dataResidency,dataClassificationAllowance,rateCapacity,readiness,health,profileVersion"
ModelRouteContext,P11,1.1,346e0917e77a181b332581bfdb94943742dc0dfec035938e50ba3ac225b93aa2,"requestRef,tenantId,taskTypeId,operationType,riskLevel,dataClassification,requiredCapabilities,outputSchemaRef,deadlineAt,budget,policySnapshotHash,providerProfileSnapshotHash"
ModelRouteDecision,P11,1.1,9785cd514c16f49982012f3943441defe246c33dfcf3429a3504885187b7d1fd,"route,reasonCodes,budget,fallbackRoutes,selectedProfileRefs,decisionHash"
ModelCascadeRun,P11,1.1,160a4e179dc1911f4b56557361bb0c688ea79d6c7f0964646fe70309959591df,"cascadeRunId,routeDecisionRef,status,stepRefs,selectedOutputRef,totalCostUnits,totalInputTokens,totalOutputTokens,completedAt"
ModelRouteRuntime,P11,1.1,386a10226570efe3572177718a9bca0f826cf6abc95ac91b63279a5993ae3dae,evaluate(input: ModelRouteContext): Promise<ModelRouteDecision>
ManagementApiContract,P12,1.1,842c040064b7171337082d865d4b46cbc27c8063ab3b0a3f881f4458247e8cbe,"queryOperations,commandOperations,pagination,filters,expectedVersion,idempotency,rbac,tenant,redaction,openapiVersion"
A2AArtifactProjection,P12,1.1,bdf152659c84b4fbbcb7d1d9dd47b97aedf73f5e82c55265a796ec4fd406d0ff,"publicCapabilitySummary,inputRequired,confirmation,formalTaskState,safeEvidence,redactionPolicyVersion"
SseArtifactEventProjection,P12,1.1,c9c2b763d109005241827ddb1cb957e28fcf7003a759d387f0888a85700f7380,"eventId,eventType,tenantId,safePayload,sourceRef,createdAt"
ReleaseCandidateDecision,P13,1.1,370b260730ee559a3f292d57c82b9296f626c4b437defa1dc2776f59020f9045,"RELEASE_CANDIDATE_READY,RELEASE_CANDIDATE_BLOCKED"
BaselineGateResult,P00,1.1,5aacbf026e86abc963544573d7cd45db971ecb160b9f310e063f8b73961e4135,"status,repository,baselineSha,v123FinalEvidenceRefs,fullVerifyStatus,migrationHead,openBlockers"
V123PrerequisiteMatrix,P00,1.1,04281d02bccf1e1ce84f80091d3c4a1d2e75d1bb59705d8b8af7634b2d4de95c,"schemaVersion,baselineSha,items,fullVerify,decision"
